66
48445 8.18806
1591416 -1
151438 -1
99 0.000311
235172 1.51041
3622 0.020209
12706 0.072434
46755 0.225772
118164924 979.264
45097178 466.721
113099318 845.14
53805125 469.476
300698443 -1
343296743 -1
321912008 -1
252068483 -1
212 0.000672
238 0.00095
307 0.00284
513 0.003252
743 0.026624
539 0.004049
618 0.008963
2863 4.82276
266915570 -1
62 0.000361
123 0.000209
371 0.020643
12704 0.111918
583334 0.871301
1499259432 -1
50 7e-05
216 0.000827
7711 0.038254
132806893 -1
34434039 -1
170075 0.866173
31172704 650.007
69454202 -1
1138690 6.30843
62809300 -1
62404793 -1
2129 0.006347
7459 0.054509
629203 7.94875
10956 0.040697
193480 2.36088
25535382 564.791
28084 0.186748
1091257 19.782
54620590 -1
124031 1.27394
1138 0.013144
2521 0.018413
11031 0.192641
49351 1.05082
332964 5.9893
2761 0.027428
42579 0.70089
9182 0.258159
510097 4.04711
628188 48.2615
106744 0.577457
6361069 89.0442
242343 1.07501
37811004 269.48
