66
415390 -1
238 0.002171
72155489 -1
76924574 -1
212 0.00156
46688254 907.382
114347 1.14708
23775664 -1
307 0.006232
38025 -1
12169 0.417991
19458937 -1
242415 2.03403
40468882 521.633
170075 1.63046
346868 12.1403
568682 1.75234
148413 2.52459
50236 2.12234
53980124 925.143
7459 0.110405
44551 13.7844
629389 16.1071
321005726 -1
2129 0.013256
367 0.037607
743 0.056907
688456 95.0095
12598 0.207477
47111 1.34617
513 0.007286
15362384 -1
1091434 39.9835
1799 3.69923
50 0.000179
10763 0.525076
539 0.00894
47132 0.452317
123 0.000473
27713 0.361328
99 0.000664
511900 7.29814
2761 0.049877
236540 2.96347
69356554 -1
3718 0.036193
210 0.001652
62 0.000775
618 0.019823
12712 0.136713
11302776 -1
1169 0.023545
1138690 11.745
16893034 -1
34934081 -1
86591635 -1
2600 0.03484
7711 0.075416
16743956 -1
22092663 -1
82048649 -1
193495 4.73879
6381975 184.544
90124954 -1
88691444 -1
10131 0.096979
